label,removed_doc_id,root_doc_id,similarity_score,removed_char_len,root_char_len,removed_preview,root_preview,allowed_labels
,shard_00063.parquet:52268,shard_00070.parquet:20040,1.0000004768371582,3883,3883,"Jonah of Moscow Saint Jonah was born in the city of Galich into a pious Christian family. The date of his birth is not known. His father was named Theodore. He was tonsured as a monastic in one of the Galich monasteries when he was only twelve years old. In the late 1420s, Jonah transferred to the Simonov Monastery, where he again fulfilled various obediences for many years. He was close to Metropolitan Photius, who consecrated him Bishop of Ryazan and Murom. After Photius died in 1431, Grand Prince Vasili II (the Sightless) nominated Jonah for the position of metropolitan of Moscow, a position that required confirmation by the Patriarch of Constantinople, Patriarch Joseph II. Jonas was delayed in his journey to Constantinople until the end of 1435 by Vasili's war with the appanage princes In the meantime, Isidore of Kiev had already been established as Metropolitan of Moscow by the Ecumenical Patriarch. After initially being accepted in Moscow and promising Vasili to be true to Orthodoxy, Isidore traveled, in 1438, to Florence, Italy to attend the Council of Florence. During the council, Isidore supported Catholicism and the re-unification of the Eastern and Western Churches. Afte","Jonah of Moscow Saint Jonah was born in the city of Galich into a pious Christian family. The date of his birth is not known. His father was named Theodore. He was tonsured as a monastic in one of the Galich monasteries when he was only twelve years old. In the late 1420s, Jonah transferred to the Simonov Monastery, where he again fulfilled various obediences for many years. He was close to Metropolitan Photius, who consecrated him Bishop of Ryazan and Murom. After Photius died in 1431, Grand Prince Vasili II (the Sightless) nominated Jonah for the position of metropolitan of Moscow, a position that required confirmation by the Patriarch of Constantinople, Patriarch Joseph II. Jonas was delayed in his journey to Constantinople until the end of 1435 by Vasili's war with the appanage princes In the meantime, Isidore of Kiev had already been established as Metropolitan of Moscow by the Ecumenical Patriarch. After initially being accepted in Moscow and promising Vasili to be true to Orthodoxy, Isidore traveled, in 1438, to Florence, Italy to attend the Council of Florence. During the council, Isidore supported Catholicism and the re-unification of the Eastern and Western Churches. Afte",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00061.parquet:35057,shard_00167.parquet:52393,1.0000003576278687,3853,3853,"I. Effects of black-tailed prairie dogs on reptile and amphibian community composition in shortgrass prairie habitats of Kansas Species diversity and abundance of reptiles and amphibians were measured on and off black-tailed prairie dog (Cynomys ludovicianus) colonies to determine the extent to which herpetological species composition in a shortgrass prairie ecosystem is affected by the presence of black-tailed prairie dog colonies. Ten species of reptiles and three species of amphibians were captured. Total amphibian and reptile abundance did not differ between prairie dog colonies and non-colonized shortgrass prairie sites, but species composition did. Reptile and amphibian mean species richness, evenness, and diversity were not different between treatments. However, the diversity of both treatments combined was considerably higher than the diversity on shortgrass prairie without prairie dogs. The mosaic pattern of prairie dog colonies on non-colonized prairie enhances landscape heterogeneity and contributes to greater reptile and amphibian diversity patterns in the shortgrass prairie biome of western Kansas than would occur without prairie dogs. II. Effects of black-tailed prair","I. Effects of black-tailed prairie dogs on reptile and amphibian community composition in shortgrass prairie habitats of Kansas Species diversity and abundance of reptiles and amphibians were measured on and off black-tailed prairie dog (Cynomys ludovicianus) colonies to determine the extent to which herpetological species composition in a shortgrass prairie ecosystem is affected by the presence of black-tailed prairie dog colonies. Ten species of reptiles and three species of amphibians were captured. Total amphibian and reptile abundance did not differ between prairie dog colonies and non-colonized shortgrass prairie sites, but species composition did. Reptile and amphibian mean species richness, evenness, and diversity were not different between treatments. However, the diversity of both treatments combined was considerably higher than the diversity on shortgrass prairie without prairie dogs. The mosaic pattern of prairie dog colonies on non-colonized prairie enhances landscape heterogeneity and contributes to greater reptile and amphibian diversity patterns in the shortgrass prairie biome of western Kansas than would occur without prairie dogs. II. Effects of black-tailed prair",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00067.parquet:32628,shard_00065.parquet:30398,0.9945232272148132,3907,3890,"Early research on a new approach to protecting against malaria is offering promising, potentially long-lasting results against the persistent parasite that sickens hundreds of millions people each year. The approach uses a cytomegalovirus-based platform that’s already being used in vaccines being developed to battle HIV and tuberculosis. This new vaccine reduced the malaria-causing parasite’s release from the liver and into the blood of infected rhesus macaques by 75 to 80 percent, reports a paper published in the journal PLOS ONE. “The problem with most vaccines is that their effectiveness is often short-lived,” said the study’s lead author, Klaus Früh, Ph.D., of OHSU’s Vaccine & Gene Therapy Institute and a professor of molecular and cellular biosciences at the OHSU School of Medicine. “Our cytomegalovirus-based vaccine platform can create and keep immunity for life. With further research and development, it could offer a lifetime of protection against malaria.” Malaria is a serious and sometimes fatal disease caused by Plasmodium parasites, which are spread to humans through mosquito bites. It can cause high fevers, shaking chills, flu-like illness and, in the worst cases, death","Early research on a new approach to protecting against malaria is offering promising, potentially long-lasting results against the persistent parasite that sickens hundreds of millions people each year. The approach uses a cytomegalovirus-based platform that's already being used in vaccines being developed to battle HIV and tuberculosis. This new vaccine reduced the malaria-causing parasite's release from the liver and into the blood of infected rhesus macaques by 75 to 80 percent, reports a paper published in the journal PLOS ONE. ""The problem with most vaccines is that their effectiveness is often short-lived,"" said the study's lead author, Klaus Früh, Ph.D., of OHSU's Vaccine & Gene Therapy Institute and a professor of molecular and cellular biosciences at the OHSU School of Medicine. ""Our cytomegalovirus-based vaccine platform can create and keep immunity for life. With further research and development, it could offer a lifetime of protection against malaria."" Malaria is a serious and sometimes fatal disease caused by Plasmodium parasites, which are spread to humans through mosquito bites. It can cause high fevers, shaking chills, flu-like illness and, in the worst cases, death",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00056.parquet:46440,shard_00149.parquet:48510,1.0000001192092896,2262,2262,"COLLEGE PARK, Md. – Laughter, along with an active sense of humor, may help protect you against a heart attack. A new study by cardiologists at the University of Maryland Medical Center in Baltimore is the first to indicate that laughter may help prevent heart disease. The researchers found that people with heart disease were 40 percent less likely to laugh in a variety of situations compared to people of the same age without heart disease. “The old saying that ‘laughter is the best medicine,’ definitely appears to be true when it comes to protecting your heart,” said Michael Miller, director of the Center for Preventive Cardiology at the University of Maryland. “We don’t know yet why laughing protects the heart, but we know that mental stress is associated with impairment of the endothelium, the protective barrier lining our blood vessels,” Miller said. This can cause a series of inflammatory reactions that lead to fat and cholesterol build-up in the coronary arteries and ultimately to a heart attack. In the study, researchers compared the humor responses of 300 people. Half of the participants had either suffered a heart attack or had undergone coronary artery bypass surgery. The","COLLEGE PARK, Md. – Laughter, along with an active sense of humor, may help protect you against a heart attack. A new study by cardiologists at the University of Maryland Medical Center in Baltimore is the first to indicate that laughter may help prevent heart disease. The researchers found that people with heart disease were 40 percent less likely to laugh in a variety of situations compared to people of the same age without heart disease. “The old saying that ‘laughter is the best medicine,’ definitely appears to be true when it comes to protecting your heart,” said Michael Miller, director of the Center for Preventive Cardiology at the University of Maryland. “We don’t know yet why laughing protects the heart, but we know that mental stress is associated with impairment of the endothelium, the protective barrier lining our blood vessels,” Miller said. This can cause a series of inflammatory reactions that lead to fat and cholesterol build-up in the coronary arteries and ultimately to a heart attack. In the study, researchers compared the humor responses of 300 people. Half of the participants had either suffered a heart attack or had undergone coronary artery bypass surgery. The",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00087.parquet:43395,shard_00053.parquet:18413,0.9307765960693359,7163,11049,"Edited by DifuWu, Flickety, Krystle, BR and 7 others .]]Gram staining is a quick procedure used to look for the presence of bacteria in tissue samples and to characterise bacteria as Gram-positive or Gram-negative, based on the chemical and physical properties of their cell walls. The Gram stain should almost always be done as the first step in diagnosis of a bacteria infection. The Gram stain is named after the Danish scientist Hans Christian Gram (1853 – 1938), who developed the technique in 1882 and published it in 1884 as a technique to discriminate between two types of bacteria with similar clinical symptoms: Streptococcus pneumoniae (also known as the pneumococcus) and Klebsiella pneumoniae bacteria. 1Get a tissue sample for the Gram stain. For example, if a pneumonia is suspected, get a sputum sample. If an urinary tract infection is suspected, get a urine sample. If an intestinal infection is suspected, get a stool sample. If a brain infection is suspected, get a cerebrospinal fluid (CSF) sample (centrifuge the fluid and obtain the sediment for the Gram stain). If a skin infection is suspected, get a skin biopsy sample. If an ear infection is suspected, get a middle ear flu","The Gram staining is one of the most crucial staining techniques in microbiology. It gets its name from the Danish bacteriologist Hans Christian Gram who first introduced it in 1882, mainly to identify organisms causing pneumonia. Often the first test performed, gram staining involves the use of crystal violet or methylene blue as the primary color. The term for organisms that retain the primary color and appear purple-brown under a microscope is Gram-positive organisms. The organisms that do not take up primary stain appear red under a microscope and are Gram-negative organisms. The first step in gram staining is the use of crystal violet dye for the slide's initial staining. The next step, also known as fixing the dye, involves using iodine to form crystal violet- iodine complex to prevent easy removal of dye. Subsequently, a decolorizer, often solvent of ethanol and acetone, is used to remove the dye. The basic principle of gram staining involves the ability of the bacterial cell wall to retain the crystal violet dye during solvent treatment. Gram-positive microorganisms have higher peptidoglycan content, whereas gram-negative organisms have higher lipid content. Initially, all",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00041.parquet:35449,shard_00030.parquet:33977,1.0,3151,3151,"Aerospace Research Engineer Department of the Air Force Department of Defense Albuquerque, New Mexico Developed a laser technology system that allows the Army, Navy, Air Force and Marines to better communicate with one another in wartime, saving the government $100 million and enhancing our national defense. Laser technology is making life easier in unlimited ways—it can warn airplanes that may stray into restricted airspace, enhance the capability of your computer mouse or test the quality of fruits before they get to the supermarket shelf. Thanks to Dr. Bill Hindman, an engineer at the Air Force Research Laboratory at Kirtland Air Force Base in Albuquerque, New Mexico, laser technology is improving the way our armed forces defend the nation. Laser technology is the use of light as a communications device. Whereas fiber optics used light to communicate over wires, laser technology involves a much larger playing field for light transmission: space.Beaming light to communicate in this way ensures more efficiency and expediency—two critical ingredients in any successful military operation. Over the past year, Hindman has helped lead a team of government experts in creating laser comm","Aerospace Research Engineer Department of the Air Force Department of Defense Albuquerque, New Mexico Developed a laser technology system that allows the Army, Navy, Air Force and Marines to better communicate with one another in wartime, saving the government $100 million and enhancing our national defense. Laser technology is making life easier in unlimited ways—it can warn airplanes that may stray into restricted airspace, enhance the capability of your computer mouse or test the quality of fruits before they get to the supermarket shelf. Thanks to Dr. Bill Hindman, an engineer at the Air Force Research Laboratory at Kirtland Air Force Base in Albuquerque, New Mexico, laser technology is improving the way our armed forces defend the nation. Laser technology is the use of light as a communications device. Whereas fiber optics used light to communicate over wires, laser technology involves a much larger playing field for light transmission: space.Beaming light to communicate in this way ensures more efficiency and expediency—two critical ingredients in any successful military operation. Over the past year, Hindman has helped lead a team of government experts in creating laser comm",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00108.parquet:22119,shard_00130.parquet:5955,1.0,2576,2576,"Starting in October, The Metropolitan Museum of Art in New York will display an exhibition of ""manipulated photography before Photoshop"" - basically, pics from the analogue era of photography that have been altered in some way. So were things really all that different back in the days of black and white prints and adjusting imagery by hand? Based on these shots, it looks like a lot of the habits of the Photoshop age got their start decades earlier. Making Women Look Smaller Than They Actually Are This photo may not have been run through a computer program, but come on: are we expected to believe this woman is really smaller than a table lamp? Just an early example of unrealistic beauty expectations manifesting themselves in photography (we kid, of course: Photoshop manipulation and its effect on the standard of beauty is a serious issue. It's led to recent protests against some magazines). Weird Stock Photography Post-Photoshop, creating an image to represent ""teambuilding"" got pretty easy. But back in 1930, when this shot was created, it was probably a painstaking process. And the result: the kind of strange, anonymously created piece you'd expect to find on a stock photography we","Starting in October, The Metropolitan Museum of Art in New York will display an exhibition of ""manipulated photography before Photoshop"" - basically, pics from the analogue era of photography that have been altered in some way. So were things really all that different back in the days of black and white prints and adjusting imagery by hand? Based on these shots, it looks like a lot of the habits of the Photoshop age got their start decades earlier. Making Women Look Smaller Than They Actually Are This photo may not have been run through a computer program, but come on: are we expected to believe this woman is really smaller than a table lamp? Just an early example of unrealistic beauty expectations manifesting themselves in photography (we kid, of course: Photoshop manipulation and its effect on the standard of beauty is a serious issue. It's led to recent protests against some magazines). Weird Stock Photography Post-Photoshop, creating an image to represent ""teambuilding"" got pretty easy. But back in 1930, when this shot was created, it was probably a painstaking process. And the result: the kind of strange, anonymously created piece you'd expect to find on a stock photography we",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00140.parquet:9516,shard_00027.parquet:23532,0.985962450504303,3031,3147,"Researchers from the School of Interactive Computing and the Institute for Robotics and Intelligent Machines developed a new method that teaches computers to “see” and understand what humans do in a typical day. The technique gathered more than 40,000 pictures taken every 30 to 60 seconds, over a 6 month period, by a wearable camera and predicted with 83 percent accuracy what activity that person was doing. Researchers taught the computer to categorize images across 19 activity classes. The test subject wearing the camera could review and annotate the photos at the end of each day (deleting any necessary for privacy) to ensure that they were correctly categorized. “It was surprising how the method’s ability to correctly classify images could be generalized to another person after just two more days of annotation,” said Steven Hickson, a Ph.D. candidate in Computer Science and a lead researcher on the project. “This work is about developing a better way to understand people’s activities, and build systems that can recognize people’s activities at a finely-grained level of detail,” said Edison Thomaz, co-author and graduate research assistant in the School of Interactive Computing. “","Researchers from the School of Interactive Computing and the Institute for Robotics and Intelligent Machines developed a new method that teaches computers to ""see"" and understand what humans do in a typical day. The technique gathered more than 40,000 pictures taken every 30 to 60 seconds, over a 6 month period, by a wearable camera and predicted with 83 percent accuracy what activity that person was doing. Researchers taught the computer to categorize images across 19 activity classes. The test subject wearing the camera could review and annotate the photos at the end of each day (deleting any necessary for privacy) to ensure that they were correctly categorized. ""It was surprising how the method's ability to correctly classify images could be generalized to another person after just two more days of annotation,"" said Steven Hickson, a Ph.D. candidate in Computer Science and a lead researcher on the project. ""This work is about developing a better way to understand people's activities, and build systems that can recognize people's activities at a finely-grained level of detail,"" said Edison Thomaz, co-author and graduate research assistant in the School of Interactive Computing. """,exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00014.parquet:46566,shard_00056.parquet:1195,1.0000001192092896,2600,2600,"Mechanical arrangement adapted to illustrate structure in the non-saturated hydrocarbons by the chemist James Dewar. The model is made of bars, clamped together so as to allow free motion. In order to make the combination look like an atom, a thin round disc of blackened brass can be placed under the central nut. At the ends of the arms are holes to connect one carbon atom with another by means of a nut. The structure at the bottom right of his figure is now called ""Dewar benzene"". I bring before the Society a simple mechanical arrangement adapted to illustrate structure in the non-saturated hydrocarbons. This little device is the mechanical representative of Dr. C. Brown's well-known graphic notation. A series of narrow thin bars of brass of equal length are taken, and every two of the bars clamped in the centre by a nut, so as to admit of free motion the one on the other. Such a combination represents a single carbon atom with its four places of attachment. In order to make the combination look like an atom, a thin round disc of blackened brass can be placed under the central nut. At the ends of the arms are holes to connect one carbon atom with another by means of a nut. The fil","Mechanical arrangement adapted to illustrate structure in the non-saturated hydrocarbons by the chemist James Dewar. The model is made of bars, clamped together so as to allow free motion. In order to make the combination look like an atom, a thin round disc of blackened brass can be placed under the central nut. At the ends of the arms are holes to connect one carbon atom with another by means of a nut. The structure at the bottom right of his figure is now called ""Dewar benzene"". I bring before the Society a simple mechanical arrangement adapted to illustrate structure in the non-saturated hydrocarbons. This little device is the mechanical representative of Dr. C. Brown's well-known graphic notation. A series of narrow thin bars of brass of equal length are taken, and every two of the bars clamped in the centre by a nut, so as to admit of free motion the one on the other. Such a combination represents a single carbon atom with its four places of attachment. In order to make the combination look like an atom, a thin round disc of blackened brass can be placed under the central nut. At the ends of the arms are holes to connect one carbon atom with another by means of a nut. The fil",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00051.parquet:16130,shard_00066.parquet:6033,0.9347280859947205,5318,4214,"Doesn’t it seem like we continually hear about the amazing benefits of kale? Have you ever really looked into what the benefits actually are? The following are 10 health benefits of kale – it honestly is a SUPER super food! 1. Kale is Majorly Nutrient Dense – Kale is a member of the cabbage family. It is related to cruciferous vegetables like cabbage, broccoli, cauliflower, collard greens and brussels sprouts. There are many different types of kale. The leaves can be green or purple in color, and have either a smooth or curly shape. A single cup of raw kale contains: Vitamin A: 206% of the RDA (from beta-carotene). Vitamin K: 684% of the RDA. Vitamin C: 134% of the RDA. Vitamin B6: 9% of the RDA. Manganese: 26% of the RDA. Calcium: 9% of the RDA. Copper: 10% of the RDA. Potassium: 9% of the RDA. Magnesium: 6% of the RDA. In addition, it contains 3% or more of the RDA for Vitamin B1 (Thiamin), Vitamin B2 (Riboflavin), Vitamin B3 (Niacin), Iron and Phosphorus. 2. Kale is Loaded With Powerful Antioxidants – Kale, like other leafy greens, is very high in antioxidants. This includes beta-carotene, vitamin C, as well as various flavonoids and polyphenols . Antioxidants are substances tha","Of all super food, Kale is the king in the kingdom of Greens. It is one of the healthiest and most nutritious plant foods. Kale is loaded with all sorts of beneficial compounds, some of which have powerful medicinal properties. Kale is a popular vegetable, a member of the cabbage family. It is related to the cruciferous vegetables like cabbage, broccoli, cauliflower, and brussels sprouts. Here is 10 reasons why you would like Kale: Kale is the most nutrient dense foods A single cup of Kale has a total of 33 calories, and very little fat. A large portion of the fat in it is the omega-3 fatty acid called alpha linolenic acid. Loaded with powerful anti-oxidants Kale, like other leafy greens, is very high in anti-oxidants. This includes beta-carotene, vitamin C, as well as various flavonoids and polyphenols. Anti-0xidants are substances that help counteract oxidative damage by free radicals in the body. Oxidative damage is believed to be among the leading drivers of ageing and many diseases, including cancer. Flavonoids quercetin and kaempferol are found in relatively large amounts in kale. These substances have been studied intensely and found to have powerful cardioprotetive, blood p",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
