label,removed_doc_id,root_doc_id,similarity_score,removed_char_len,root_char_len,removed_preview,root_preview,allowed_labels
,shard_00146.parquet:3421,shard_00099.parquet:17873,0.9999996423721313,920,920,"The internal plumbing of your house may be the culprit if discolored water appears only for a minute or two after you turn on the tap. Many houses have galvanized iron pipe, and when the zinc coating on the inside of galvanized iron pipe wears thin, the water becomes discolored as it comes in contact with bare iron. The longer the water sits in the pipes, the worse the discoloration will be. That is why this problem is most noticeable the first time you turn on the tap in the morning. If only a few taps are affected, only a portion of your internal plumbing has galvanized pipe. After running your tap for a few minutes, clean water from your water heater or the water main will replace the discolored water. Since iron is an essential nutrient, this condition poses no health hazard. If the discoloration bothers you, however, flush the tap until the water becomes clear and save the water for iron-loving plants.","The internal plumbing of your house may be the culprit if discolored water appears only for a minute or two after you turn on the tap. Many houses have galvanized iron pipe, and when the zinc coating on the inside of galvanized iron pipe wears thin, the water becomes discolored as it comes in contact with bare iron. The longer the water sits in the pipes, the worse the discoloration will be. That is why this problem is most noticeable the first time you turn on the tap in the morning. If only a few taps are affected, only a portion of your internal plumbing has galvanized pipe. After running your tap for a few minutes, clean water from your water heater or the water main will replace the discolored water. Since iron is an essential nutrient, this condition poses no health hazard. If the discoloration bothers you, however, flush the tap until the water becomes clear and save the water for iron-loving plants.",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00035.parquet:31990,shard_00127.parquet:30561,0.9999995827674866,607,607,"Revolutions of 1848 in the German states The Revolutions in the German states developed in most of the 38 states of Germany that were loosely bound together in the German Confederation after the Congress of Vienna in 1815. To these states belonged Austria as well though Hungary that was part of the Austrian-Hungarian Empire was not part of the German Confederation. But it was in Berlin too where the Prussian king Frederick William refused to become emperor of a united German state. Austria and Prussia withdrew their delegates from the Assembly, and the Assembly itself slowly disintegrated afterwards.","Revolutions of 1848 in the German states The Revolutions in the German states developed in most of the 38 states of Germany that were loosely bound together in the German Confederation after the Congress of Vienna in 1815. To these states belonged Austria as well though Hungary that was part of the Austrian-Hungarian Empire was not part of the German Confederation. But it was in Berlin too where the Prussian king Frederick William refused to become emperor of a united German state. Austria and Prussia withdrew their delegates from the Assembly, and the Assembly itself slowly disintegrated afterwards.",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00114.parquet:20267,shard_00150.parquet:33282,0.95074862241745,11496,9952,"What is a c-section? A c-section, or cesarean section, is the delivery of a baby through a surgical incision in the mother's abdomen and uterus. In some circumstances, a c-section is scheduled in advance. In others, the surgery is needed due to an unforeseen complication. If you or your baby is in imminent danger, you'll have an emergency c-section. Otherwise, it's called an unplanned section. According to the U.S. Centers for Disease Control, about 32 percent of American women who gave birth in 2015 had a cesarean delivery. Why would I have a scheduled c-section? In some cases, your doctor will recommend a c-section instead of a vaginal delivery. For example, you may require a planned c-section if: - You've had a previous cesarean with a ""classical"" vertical uterine incision (this is relatively rare) or more than one previous c-section. Both of these significantly increase the risk that your uterus will rupture during a vaginal delivery. NOTE: If you've had only one previous c-section, with a horizontal uterine incision, you may be a good candidate for a vaginal birth after cesarean, or VBAC. (Note that the type of scar on your belly may not match the one on your uterus.) Or you m","What Is It? A cesarean section, also called a C-section, is surgery to deliver a baby through the abdomen. It's used when: It's impossible or not advised to deliver the baby through the vagina, or Continuing in labor seems to present a greater risk to the health of the baby or mother, even if the plan was a vaginal delivery. A C-section sometimes is scheduled in advance. But it may also be unscheduled as circumstances change in the course of labor and delivery. An unscheduled cesarean is not the same as an emergency cesarean, which is done when there is immediate risk to a mother or baby that cannot be resolved without immediate delivery. In the United stated, about 32% of all births are delivered by C-section. The procedure is done less often in most other countries. For example, about 15% of births are delivered via C-sections in the Netherlands, and 25% are delivered that way in England, Wales and Canada. What It's Used For A C-section may be done for reasons related to the health of the mother or baby, or conditions related to the pregnancy or process of labor. Reasons related to a mother's health that may lead to a C-section include: Past surgeries involving the uterus. The mo",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00050.parquet:4359,shard_00112.parquet:60,0.9826846122741699,2917,2952,"It’s extremely common for people to have hearing loss brought on by continued exposure to loud noise. Your hearing can be irreversibly impaired if you spend a lot of time around noise that exceeds 85 dB. Exactly How Does Noise-Induced Hearing Loss Work? This is a form of sensorineural hearing loss where hair cells in your inner ear are permanently damaged by noise. Noise-induced hearing loss can be brought on by long-term exposure to extremely high levels of noise, which leads to a gradual decline of your hearing. Immediate damage can also happen if you are subjected to a burst of exceptionally damaging noise all at once. Over 17 percent of people between the ages of 20 and 69 have hearing loss that is a result of their recreational or work activities. Here are some examples of noises that can lead to hearing loss: - Busy Traffic - Loud headphoness - Emergency Vehicles - Construction equipment - Nearby fireworks - Jet engines Can it be Reversed? There is presently no cure for noise-related hearing loss (although scientists are hard at work on it). If you’ve been subjected to a loud noise, you need to consult a doctor right away, because some of the lasting damage is caused by infla","It’s extremely common for people to have hearing loss caused by continued subjection to loud noise. Your hearing can be permanently damaged if you spend a lot of time exposed to noise that exceeds 85 dB. Exactly How Does Noise-Induced Hearing Loss Work? This is a kind of sensorineural hearing loss where hair cells inside of your inner ear are permanently destroyed by noise. A progressive degeneration of hearing, eventually bringing about permanent hearing loss, develops when you are exposed to very loud noise for a long period of time. Immediate damage can also occur if you are exposed to a burst of exceptionally damaging noise all at once. More than 17 percent of individuals between the ages of 20 and 69 have hearing loss that is caused by their work or recreational activities. Some examples of noises that can result in hearing loss might include: - Jet engines - Nearby fireworks - Loud volume on earphones - Emergency Vehicles - Busy Traffic Is it Reversible? There is currently no remedy for noise-induced hearing loss (though scientists are hard at work on it). Some of the damage inside your ear might be caused by inflammation so you need to talk to a doctor if you’ve been subject",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00038.parquet:9711,shard_00068.parquet:22283,0.9999995827674866,17114,16968,"Sleep Soundly: How to establish good sleep habits for your children Sara Gable and David Schramm State extension specialists Human Development and Family Studies We all know how great a good night’s sleep feels — and this goes for your children as well. Sleep is important to children’s overall well-being and essential to their growth and good health. A good night’s sleep allows children to wake up feeling refreshed physically and mentally. Consistent and quality sleep helps children stay alert and focused during the day. It can increase their ability to concentrate, to remember what they learn, to problem solve and to enjoy normal physical activity. On the flip side, children who do not get enough sleep are likely to be moody, irritable, easily frustrated, and act more angry or sad in social interactions. Clearly, sleep is very important for children’s functioning. So what happens while we sleep? Throughout the night, the body moves through sleep cycles — transitioning between deep restorative sleep, lighter stages of sleep and dreaming. During sleep, muscles and skin are repaired and grow, memories are organized, and growth- and appetite-regulating hormones are released. Getting a","Sleep Soundly: How to establish good sleep habits for your children Sara Gable and David Schramm State extension specialists Human Development and Family Studies We all know how great a good night’s sleep feels — and this goes for your children as well. Sleep is important to children’s overall well-being and essential to their growth and good health. A good night’s sleep allows children to wake up feeling refreshed physically and mentally. Consistent and quality sleep helps children stay alert and focused during the day. It can increase their ability to concentrate, to remember what they learn, to problem solve and to enjoy normal physical activity. On the flip side, children who do not get enough sleep are likely to be moody, irritable, easily frustrated, and act more angry or sad in social interactions. Clearly, sleep is very important for children’s functioning. So what happens while we sleep? Throughout the night, the body moves through sleep cycles — transitioning between deep restorative sleep, lighter stages of sleep and dreaming. During sleep, muscles and skin are repaired and grow, memories are organized, and growth- and appetite-regulating hormones are released. Getting a",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00112.parquet:45904,shard_00036.parquet:9119,1.0000004768371582,2761,2761,"Via the Merced Sun-Star: Doctoral candidate presents research on racial disparities in Valley fever. But it really sounds like class disparities. Excerpt: Latino and black men are more likely to acquire and die from Valley fever than other groups, research shows, but very little is known about why that occurs. According to Sarah Rios, a doctoral candidate in the sociology department at the University of California, Santa Barbara, a possible explanation as to why these groups are especially vulnerable could be because of the environments they are exposed to. During a lecture at UC Merced on Wednesday, Rios presented research that examines how race, gender and geography shape the environmental health risk of Valley fever for certain nonwhite groups in the Central Valley. The lecture is part of a Valley Fever Seminar Series hosted by UC Merced’s Health Sciences Research Institute. Valley fever is a fungal infection of the lungs. Rios, who comes from a family of farmworkers in the Salinas-Watsonville area, completed her undergraduate studies at Fresno State. After college, Rios joined the United Farm Workers, where she started developing the foundation for her work. Rios currently coll","Via the Merced Sun-Star: Doctoral candidate presents research on racial disparities in Valley fever. But it really sounds like class disparities. Excerpt: Latino and black men are more likely to acquire and die from Valley fever than other groups, research shows, but very little is known about why that occurs. According to Sarah Rios, a doctoral candidate in the sociology department at the University of California, Santa Barbara, a possible explanation as to why these groups are especially vulnerable could be because of the environments they are exposed to. During a lecture at UC Merced on Wednesday, Rios presented research that examines how race, gender and geography shape the environmental health risk of Valley fever for certain nonwhite groups in the Central Valley. The lecture is part of a Valley Fever Seminar Series hosted by UC Merced’s Health Sciences Research Institute. Valley fever is a fungal infection of the lungs. Rios, who comes from a family of farmworkers in the Salinas-Watsonville area, completed her undergraduate studies at Fresno State. After college, Rios joined the United Farm Workers, where she started developing the foundation for her work. Rios currently coll",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00014.parquet:9212,shard_00083.parquet:623,0.9999995231628418,6243,6243,"Avian influenza, bird flu, pandemic, highly pathogenic, H5N1 virus—what does all this mean to duck hunters and waterfowl conservation? By Bruce Batt, Ph.D. The press is bombarding us with information as a new strain of bird flu has devastated domestic poultry by the hundreds of millions in Southeast Asia and has, in a few cases, sickened or killed people. This is a bird disease that has spread over parts of Asia, Europe, and North Africa, and many experts believe its arrival in North America is inevitable. Some think it will happen this year. One way the virus could arrive is to be carried by waterfowl and other wild birds. Therein lies the connection with waterfowl and the threat to waterfowl conservation in North America, even though there has never been a case in which the disease is known to have been transmitted from a wild bird to a human. WHAT IS AVIAN INFLUENZA? The term avian influenza refers to viruses that occur in birds. Birds easily shake off most strains of bird flu, and most types have low pathogenicity (ability to produce disease). But genetic mutation occurs frequently in viruses, and sometimes a harmless virus will change to one that is highly pathogenic and can c","Avian influenza, bird flu, pandemic, highly pathogenic, H5N1 virus—what does all this mean to duck hunters and waterfowl conservation? By Bruce Batt, Ph.D. The press is bombarding us with information as a new strain of bird flu has devastated domestic poultry by the hundreds of millions in Southeast Asia and has, in a few cases, sickened or killed people. This is a bird disease that has spread over parts of Asia, Europe, and North Africa, and many experts believe its arrival in North America is inevitable. Some think it will happen this year. One way the virus could arrive is to be carried by waterfowl and other wild birds. Therein lies the connection with waterfowl and the threat to waterfowl conservation in North America, even though there has never been a case in which the disease is known to have been transmitted from a wild bird to a human. WHAT IS AVIAN INFLUENZA? The term avian influenza refers to viruses that occur in birds. Birds easily shake off most strains of bird flu, and most types have low pathogenicity (ability to produce disease). But genetic mutation occurs frequently in viruses, and sometimes a harmless virus will change to one that is highly pathogenic and can c",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00033.parquet:9147,shard_00138.parquet:15089,0.9999995827674866,11261,11261,"The Value of Functional Foods to Support a Healthy Lifestyle The notion that food plays an enormous role in our health is not new thinking as evidenced by Hippocrates’ statement nearly 2, 500 years ago, “Leave your drugs in the chemist’s pot, if you can heal the patient with food.” We are the living product of a four million year partnership with nature, which requires us to continually take in nutrients from food and water. Our bodies only receive the nutrients that we provide ourselves with at every swallow of our food choices. Every living cell has in it a multitude of organized metabolic enzymes that are the chief workers for over 2,000 proteins in the body. These are regularly produced within the cells if the nutritional chain of life is furnished with “Nutrient-Dense Food.” One of the most exciting areas of nutritional research today is identification and investigation of compounds in plants that can bolster our defenses against agents of disease, reducing risks of cancer and other serious illnesses. So many of these have come into light in recent years, with actions so varied and beneficial, that it is a wonder that the consumption of fruits and vegetables is not going up fa","The Value of Functional Foods to Support a Healthy Lifestyle The notion that food plays an enormous role in our health is not new thinking as evidenced by Hippocrates’ statement nearly 2, 500 years ago, “Leave your drugs in the chemist’s pot, if you can heal the patient with food.” We are the living product of a four million year partnership with nature, which requires us to continually take in nutrients from food and water. Our bodies only receive the nutrients that we provide ourselves with at every swallow of our food choices. Every living cell has in it a multitude of organized metabolic enzymes that are the chief workers for over 2,000 proteins in the body. These are regularly produced within the cells if the nutritional chain of life is furnished with “Nutrient-Dense Food.” One of the most exciting areas of nutritional research today is identification and investigation of compounds in plants that can bolster our defenses against agents of disease, reducing risks of cancer and other serious illnesses. So many of these have come into light in recent years, with actions so varied and beneficial, that it is a wonder that the consumption of fruits and vegetables is not going up fa",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00063.parquet:24378,shard_00160.parquet:26062,0.9999998807907104,1859,1859,"New research suggests that coffee’s potential health benefits are about more than caffeine. Rutgers scientists have found a compound in coffee that may team up with caffeine to fight Parkinson’s disease and Lewy body dementia — two progressive and currently incurable diseases associated with brain degeneration. The discovery, recently published in the Proceedings of the National Academy of Sciences, suggests these two compounds combined may become a therapeutic option to slow brain degeneration. Lead author M. Maral Mouradian, director of the Rutgers Robert Wood Johnson Medical School Institute for Neurological Therapeutics and William Dow Lovett Professor of Neurology, said prior research has shown that drinking coffee may reduce the risk of developing Parkinson’s disease. While caffeine has traditionally been credited as coffee’s special protective agent, coffee beans contain more than a thousand other compounds that are less well known. The Rutgers study focused on a fatty acid derivative of the neurotransmitter serotonin, called EHT (Eicosanoyl-5-hydroxytryptamide), found in the bean’s waxy coating. The researchers found that EHT protects the brains of mice against abnormal pro","New research suggests that coffee’s potential health benefits are about more than caffeine. Rutgers scientists have found a compound in coffee that may team up with caffeine to fight Parkinson’s disease and Lewy body dementia — two progressive and currently incurable diseases associated with brain degeneration. The discovery, recently published in the Proceedings of the National Academy of Sciences, suggests these two compounds combined may become a therapeutic option to slow brain degeneration. Lead author M. Maral Mouradian, director of the Rutgers Robert Wood Johnson Medical School Institute for Neurological Therapeutics and William Dow Lovett Professor of Neurology, said prior research has shown that drinking coffee may reduce the risk of developing Parkinson’s disease. While caffeine has traditionally been credited as coffee’s special protective agent, coffee beans contain more than a thousand other compounds that are less well known. The Rutgers study focused on a fatty acid derivative of the neurotransmitter serotonin, called EHT (Eicosanoyl-5-hydroxytryptamide), found in the bean’s waxy coating. The researchers found that EHT protects the brains of mice against abnormal pro",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
,shard_00067.parquet:31442,shard_00153.parquet:14804,0.9405109882354736,3777,964,"Air pollution causes about 200,000 early deaths each year in the United States, according to a new study from the Massachusetts Institute of Technology (MIT). Researchers at MIT’s Laboratory for Aviation and the Environment, say emissions from road transportation are the leading single cause of pollution, contributing 53,000 premature deaths, and that electrical power generation causes another 52,000. “In the past five to 10 years, the evidence linking air-pollution exposure to risk of early death has really solidified and gained scientific and political traction,” says Steven Barrett, an assistant professor of aeronautics and astronautics at MIT. “There’s a realization that air pollution is a major problem in any city, and there’s a desire to do something about it.” Baltimore, Maryland, was the city with the highest emissions-related death rate in the United States, with 130 out of every 100,000 deaths likely caused by exposure to air pollution. According to Barrett, a person who dies from air-pollution causes typically dies about a decade earlier than he or she might have otherwise. The study was done using data from the Environmental Protection Agency’s National Emissions Invent","""Air pollution causes about 200,000 early deaths each year in the United States, according to a new study from the Massachusetts Institute of Technology (MIT)."" ""Researchers at MIT’s Laboratory for Aviation and the Environment, say emissions from road transportation are the leading single cause of pollution, contributing 53,000 premature deaths, and that electrical power generation causes another 52,000. 'In the past five to 10 years, the evidence linking air-pollution exposure to risk of early death has really solidified and gained scientific and political traction,' says Steven Barrett, an assistant professor of aeronautics and astronautics at MIT. 'There’s a realization that air pollution is a major problem in any city, and there’s a desire to do something about it.' Baltimore, Maryland, was the city with the highest emissions-related death rate in the United States, with 130 out of every 100,000 deaths likely caused by exposure to air pollution.""",exact_duplicate|near_duplicate|semantic_duplicate|same_template_different_content|related_but_both_valuable|false_positive|unclear
